head_id	head_name	relation	tail_id	tail_name	confidence	source
614	Definition:Field (Abstract Algebra)	equivalent_to	580	Definition:Ring Zero	0.9	equiv_section
7136	Definition:External Direct Product/Structures with Two Operations	equivalent_to	493	Definition:Internal Direct Product	0.9	equiv_section
23071	Definition:Affine Commutative Scheme	equivalent_to	22975	Definition:Affine Scheme	0.9	equiv_section
10830	Definition:Closed Contour (Complex Plane)	equivalent_to	9480	Definition:Contour/Complex Plane	0.9	equiv_section
16099	Definition:Inverse Image Mapping/Mapping	equivalent_to	16098	Definition:Mapping Induced on Powerset by Inverse of Mapping	0.9	equiv_section
3074	Definition:Additive Function (Measure Theory)	equivalent_to	3076	Definition:Countably Additive Function	0.9	equiv_section
72	Definition:Sequent	equivalent_to	63	Definition:Premise	0.9	equiv_section
16780	Definition:Radioactive Isotope	equivalent_to	16786	Definition:Radioactive Decay/Stable	0.9	equiv_section
1712	Definition:Inner Product Space	equivalent_to	6303	Definition:Hilbert Space	0.9	equiv_section
20982	Definition:Permutable Prime	equivalent_to	19739	Definition:Emirp	0.9	equiv_section
19	Definition:Set	equivalent_to	3370	Definition:Set of Sets	0.9	equiv_section
6975	Definition:Dirac Measure	equivalent_to	127	Definition:Mapping	0.9	equiv_section
11343	Definition:Piecewise Continuously Differentiable Function	equivalent_to	1128	Definition:Smooth Real Function	0.9	equiv_section
